original_text,augmented_text,intermediate_english
我记得茉酸奶最开始的时候要40左右，现在好便宜,我记得酸奶开始的时候大约40岁 现在很便宜,I remember the yogurt was about 40 when it started. It's so cheap now.
事到如今 有爱也有唉,"现在,有爱,有爱","Now, there's love, there's love."
我说怎么昨天不到十点就困死过去 原来我妈给我冲了999 999 最好的安眠药,我是说 为什么她昨天十点前就被困住了,"I mean, why was she trapped before 10:00 yesterday?"
那种大通铺一样的话听听就可以了 不往心里去,"如果你听一个大店 这样的,不要考虑它。","If you listen to a big shop like that, don't think about it."
这一周行程排的满满当当，甘肃河西走一圈儿，市场梳理完，心里就有数了,本周的日程安排满了 甘肃河环绕圈子 市场很干净 你知道的,"This week's schedule is full, the Gansu River walks a circle, the market's clean, and you know it."
金价，近段吃肉的人应该挺多,金子的价格应该是很多吃肉的人,The price of gold should be a lot of meat-eating people.
西安西安城墙,Xianxian墙,Xianxian Wall
喝完又点了怎么办 没关系的 是因为剪视频太困了,"没关系,因为剪片太紧了",It's okay. It's because the clippings are too tight.
电车搬运工,运输卡车运输车,"Truck, transporter"
咦，不是去看哪吒的谷子吗，怎么带回了一个萧逸,我以为我们要去看看谷物在哪里,I thought we were going to see where the grain is.
又买了件衣服，怎？才23块钱，就算很丑那我也将就穿,"我穿它,即使它丑陋。",I'll wear it even if it's ugly.
养生茶水间,茶馆,A teahouse.
浦东机场就是不一样哈，拿行李还要坐地铁,"浦东机场不同,拿行李坐地铁",It's different at Pudong Airport. Take the luggage and take the subway.
一天一苹果,每天一个苹果。,One apple a day.
记录体重18天了 轻了03斤,已经18天了 3磅轻,It's been 18 days. It's 03 pounds light.
李自健美术馆一游,我要去李的健身房,I'm going to Lee's gym.
没事没事没事,"没事的,没事的",It's okay. It's okay.
又是准时到岗的一天,又一个值班日,Another day on duty on time.
时刻告诉自己要当一个情绪稳定的人,你总是告诉自己 自己是一个稳定的人。,You always tell yourself to be a stable person.
That is life！,这就是生命!,That is life!
毕业那么久了，还是改不了发言前习惯性的举手 就算在餐厅里也这样,"过了这么久,你不能改变 在你说话之前举手的习惯,甚至在餐厅里。","After all this time, you can't change the habit of raising your hand before you speak, even in the restaurant."
报告老师我有拖延症 一个月前的照片今天才想发開學季,"老师,我迟到了","Teacher, I have a delay."
剩最后一学期 找到宿舍钥匙了,上学期 我找到了宿舍的钥匙,"Last semester, I found the key to the dorm."
6Y7M 小朋友 今日份早餐 不吃香菜和紫菜的馄饨,"6Y7M,我的小朋友,今天早餐吃","6Y7M, my little friend, for breakfast today."
23点下班，觉得好早，去剪了个头发，快24点了，好快 东莞松山湖景区,"现在理发还早,快24点了,快了",It's early to get a haircut. It's almost 24 o'clock. It's fast.
一球定胜负哦,我相信你会赢的,I'm sure you'll win.
冷知识 每个省的疫苗都不一样吗 在云南水痘疫苗是自费 到了深圳它就是免费的了！,"冷却的知识,疫苗不是在每个省都不同吗?","Cold knowledge, isn't the vaccine different in every province?"
说到原则 认为自己已经是很没有原则的人，那是因为你还没被触碰到,"说到原则,你认为你是一个非常不讲原则的人, 因为你没有被感动。","Speaking of principles, you think you're a very unprincipled person, because you haven't been touched."
我现在要的不是passion 我要patience,"我现在不想要激情,我要耐心",I don't want passion now. I want patience.
广场上那个疯狂的小岛是什么？,广场上那个疯狂的岛是什么?,What's that crazy island in the square?
1134,1134。 1134。 。,1134.
年年岁岁花相似，岁岁年年人不同,"年龄相似,年龄不同。","Age is similar, age is different."
1600,1600号,1600.
世界是一个巨大的博弈场,世界是一个巨大的竞技场。,The world is a huge playing field.
我去卖车，四个圈车主卖四个圈,我要卖掉这辆车 四个车主卖了四辆车,I'm going to sell the car. Four of the car owners sell four of the car.
一杯咖啡是我的日常，两杯也不过是顺嘴的事,"咖啡是我的日常生意,两杯只是口香糖",A cup of coffee is my daily business. Two cups are just a mouthful.
好家伙难哄竟然讲的是00后的爱情故事男女主18年高考，和我是同辈,00后他有个爱情故事 他跟我上了18年高中,"He's got a love story after 00, and he's got 18 years of high school with me."
外面风好大，可以听到吹到窗户的声音，吹到树叶的声音，呼呼呼的，还有雨滴声，就是可惜了开得正好的花。,"外面风很大,你能听到窗户的声音, 叶子的声音,雨滴的声音, 真可惜花朵是对的。","It's so windy out there that you can hear the sound of the window, the sound of the leaves, the sound of the raindrops, it's a shame that the flowers are right."
暴走第三天。,风暴的第三天,The third day of the storm.
散步 明长城遗址公园  每个春天各有各的故事,步行 长城公园 每个春天都有自己的故事,"Walking, Great Wall Site Park, every spring has its own story."
带娃 感觉我家娃是个i人 还没开启自己的社交,我觉得我的孩子是一个我的人 谁还没有开始自己的社交生活呢。,I feel like my baby's an i person who hasn't started his own social life yet.
目标：吃饭只吃7成饱。 目前状态：一吃就是十二分饱,"目标:70%用于食品,目前状况:12%用于食品。",Target: 70% for food. Current status: 12% for food.
7月第2瑞,"7月2日,",July 2nd.
哥你昨晚睡得着吗,昨晚睡得着吗?,Can you sleep last night?
我所有的平静都与命理有关,我所有的和平都和命运有关,All my peace has to do with destiny.
TWS货物管理局 代友发 转虾皮20 135dk 150不包 求接车,"TWS货物管理局,宣传,20, 135dk 150非包装。","TWS Cargo Administration, promo, 20, 135dk 150 non-packs."
躺在床上想象自己是一杯水，静下来什么也不做，杂质便慢慢的沉下去,当你躺在床上 觉得自己是一杯水 安静不动 什么都不做时 杂质会慢慢下降,"When you're lying in bed and you think you're a glass of water and you're quiet and you don't do anything, the impurities go down slowly."
穿着我的拖鞋 出去觅食,穿着我的拖鞋 出去吃东西,"Wearing my slippers, going out for food."
这风终究还是来了,风终于来了,The wind has finally come.
按理说我家湾男戴眼镜在我心里的示意图应该是介样的,"顺理成章的是,我的万万万心中有一张带眼镜的地图。",It's logical that my Wan Man has a map in my heart with glasses.
芒芒老面小腻烙北，你们出现频率有点高了,老头有点小问题 你们经常出现,The old man's got a little bit of a problem. You guys show up a little more often.
可是我又没做错什么,但我没有做错什么,But I didn't do anything wrong.
这运动量还不行嘛,这不是一个好运动。,That's not a good sport.
先补发个昨天的记录,我会给你寄一份昨天记录的副本,I'll send you a copy of yesterday's record.
可以上杨瀚森了。,你现在可以去杨汉森了,You can go to Yang Han Sen now.
？哥们你活了啊但是感觉运营不了多久（。,"§伙计,你还活着,但感觉它不会工作很长时间§","♪ Dude, you're alive but it doesn't feel like it's going to work for long. ♪"
开学倒计时,是时候开始上学了,Time to start school.
晚上吃什么,晚饭吃什么?,What's for dinner?
号码商送的b站会员使劲儿看,毒贩车站的男的,The guy from the dealer's station b-listen.
上一次奔天山天池还是十年前 昌吉天山天池风景名胜区,上次我去天山是十年前,The last time I went to Tianshan is 10 years ago.
今日打卡,今天的卡片,Today's card
你们真是,你们真是...,You guys are so...
虽然人都要滴水了，不得不承认，这感觉！好像家里的感觉 烟雨江南,"即使人们在滴水,我必须承认, 家里的感觉就像烟雾雨一样。","Even though people are dripping, I have to admit, it feels like the feeling in the house is the smoke and rain."
打这段话突然想起来今天还没喝奶茶,我突然想起今天没喝奶茶,I suddenly remembered I haven't had milk tea today.
国考：蒙题大赛,国家考试:世界竞赛,National Examination: Monroe Contest
人不可能同时拥有青春和对青春的感受，没错又做梦了,男人不可能同时有青春和青春的感觉,It's impossible for a man to have youth and a feeling of youth at the same time.
今日早餐 九个蒸饺和妹妹吃剩的蛋卷 为了不浪费，我多吃了很多很多 胖是应该的,"今天的早餐,九个面包和我妹妹的剩菜蛋卷, 我吃得比应该吃得还多。","For breakfast today, nine dumplings and my sister's leftover egg rolls, I ate a lot more than I should have."
今天选择听歌入睡呢还是听故事呢,你想听今天的歌或故事吗?,Do you want to hear the song or the story today?
有哪位大佬介绍下这个IP讲的啥啊,谁给你介绍这个IP的?,Who introduced this IP to you?
蛮好的 大太阳切换大暴雨再大太阳 又准备外卖藿香正气水喝了 宁波强蛟群岛,让大太阳变成大雨和大太阳真好 我们准备把它拿出来卖掉,"It's nice to have the big sun switch to heavy rain and the big sun, and we're ready to take it out and sell it."
长沙湖南大学,Longsa湖南大学,Longsa Hunan University
落了叶的阿利斯康林荫大道,艾利斯康林大道有叶子,The Alis Conlin Boulevard with the leaves.
不是 你？,没有 你呢?,"No, you?"
找到网人的规律了。想标榜个性就喜欢西村里，想起号就说追票程序,"我找到了一个网络用户模式。如果你想成为个人, 你喜欢西村。如果你考虑一下,你把它称为运动。","I've found a pattern for Internet users. If you want to be personal, you like the West Village. When you think about it, you call it a campaign."
今天的OOTD 郑州 郑州,今天的OOTT 郑州 郑州,"Today's OOTT, Zhengzhou, Zhengzhou."
你看着我眼睛,看着我的眼睛,Look at my eyes.
gap month在做什么,什么是差距月在做什么?,What's gap month doing?
春风习习的凛冽清晨,现在是春天的清晨,It's the early mornings of the spring.
我将等待,我会等的,I'll wait.
骗骗自己减个脂 潮州番客美居(古城店),你骗自己是为了给自己弄点肥肉,You're lying to yourself to cut yourself some fat.
闪现郑州 待一天再回家 郑州郑州国际会展中心,我一天后回来,I'll be back in a day.
今天 连喝两天酒 相册里全是花和树 谁有idea,"今天,两天的葡萄酒, 花和树在专辑。","Today, two days of wine, with flowers and trees in the albums."
博物馆 荆州荆州博物馆 荆州荆州博物馆,博物馆、博物馆、博物馆、博物馆、博物馆。,"Museums, museums, museums, museums."
花儿与少年,鲜花和青少年。,Flowers and teenagers.
416早4845,上午4:16 上午48:45,416 a.m. 4845 a.m.
听着假假的消息消息说不定真真的,听假消息也许是真实的,It may be true to hear false news.
需要适应一下,我们需要适应它。,We need to get used to it.
情绪需要稳定，家才能稳定。,"家庭要稳定,情感就必须稳定。",Emotions need to be stable if the family is to be stable.
